FECHA_CORTE,ESTADO_DEPTO,ETNIA,SEXO,CICLO_VITAL,DISCAPACIDAD,EVENTOS
2019-01-31,Valle del Cauca,Indigena,LGBTI,entre 61 y 100,NO,1
2019-01-31,Caqueta,Gitano(a) ROM,Mujer,entre 18 y 28,NO,286
2019-01-31,Tolima,Negro(a) o Afrocolombiano(a),Mujer,entre 29 y 60,NO,1291
2019-01-31,Huila,Gitano(a) ROM,Mujer,entre 61 y 100,SI,12
2019-01-31,Boyaca,Gitano(a) ROM,Hombre,entre 61 y 100,NO,8
2019-01-31,Arauca,Raizal del Archipielago de San Andres y Providencia,Hombre,entre 6 y 11,NO,2
2019-01-31,Cesar,Negro(a) o Afrocolombiano(a),LGBTI,entre 29 y 60,NO,20
2019-01-31,Nariño,Negro(a) o Afrocolombiano(a),LGBTI,entre 29 y 60,SI,19
2019-01-31,Caqueta,Negro(a) o Afrocolombiano(a),Mujer,entre 6 y 11,SI,1
2019-01-31,Magdalena,Negro(a) o Afrocolombiano(a),Mujer,entre 12 y 17,SI,32
2019-01-31,Tolima,Negro(a) o Afrocolombiano(a),Hombre,ND,SI,16
2019-01-31,La Guajira,Negro(a) o Afrocolombiano(a),Mujer,entre 0 y 5,NO,61
2019-01-31,Vichada,Indigena,Mujer,ND,NO,63
2019-01-31,Norte De Santander,Ninguna,Hombre,entre 61 y 100,SI,2100
2019-01-31,Huila,Negro(a) o Afrocolombiano(a),Mujer,ND,SI,2
2019-01-31,Vaupes,Ninguna,Mujer,entre 29 y 60,NO,2063
2019-01-31,Nariño,Palenquero,Mujer,entre 12 y 17,SI,1
2019-01-31,La Guajira,Ninguna,Hombre,ND,SI,54
2019-01-31,Risaralda,Gitano(a) ROM,Hombre,entre 6 y 11,NO,1
2019-01-31,Caqueta,Ninguna,Mujer,entre 0 y 5,SI,42
2019-01-31,Cauca,Ninguna,LGBTI,entre 18 y 28,NO,43
2019-01-31,Tolima,Negro(a) o Afrocolombiano(a),LGBTI,entre 6 y 11,NO,1
2019-01-31,Guainia,Indigena,Mujer,entre 29 y 60,NO,733
2019-01-31,Antioquia,Ninguna,Hombre,entre 6 y 11,NO,86233
2019-01-31,La Guajira,Ninguna,Hombre,entre 18 y 28,SI,313
2019-01-31,Huila,Raizal del Archipielago de San Andres y Providencia,Hombre,entre 29 y 60,NO,42
2019-01-31,Cundinamarca,Negro(a) o Afrocolombiano(a),Mujer,entre 29 y 60,NO,337
2019-01-31,Cundinamarca,Gitano(a) ROM,Mujer,entre 12 y 17,SI,1
2019-01-31,Huila,Negro(a) o Afrocolombiano(a),Mujer,entre 61 y 100,SI,22
2019-01-31,Choco,Gitano(a) ROM,Hombre,entre 61 y 100,SI,10
2019-01-31,Guainia,Negro(a) o Afrocolombiano(a),Mujer,entre 29 y 60,NO,22
2019-01-31,Bolivar,Negro(a) o Afrocolombiano(a),Mujer,entre 6 y 11,SI,14
2019-01-31,La Guajira,Palenquero,Mujer,entre 12 y 17,NO,1
2019-01-31,Guainia,Indigena,Hombre,entre 61 y 100,NO,113
2019-01-31,Bogota D.C.,Ninguna,Hombre,entre 12 y 17,SI,58
2019-01-31,Caqueta,Ninguna,LGBTI,entre 12 y 17,NO,10
2019-01-31,Tolima,Gitano(a) ROM,Hombre,entre 18 y 28,SI,18
2019-01-31,Choco,Ninguna,Hombre,entre 29 y 60,NO,34789
2019-01-31,Sucre,Indigena,Mujer,entre 6 y 11,NO,132
2019-01-31,Huila,Negro(a) o Afrocolombiano(a),Hombre,entre 29 y 60,SI,43
2019-01-31,Putumayo,Negro(a) o Afrocolombiano(a),Hombre,ND,NO,152
2019-01-31,Risaralda,Gitano(a) ROM,Hombre,entre 29 y 60,SI,1
2019-01-31,Arauca,Negro(a) o Afrocolombiano(a),Mujer,entre 61 y 100,NO,91
2019-01-31,Boyaca,Indigena,Hombre,entre 6 y 11,NO,6
2019-01-31,Nariño,Gitano(a) ROM,Mujer,entre 6 y 11,NO,21
2019-01-31,Cauca,Ninguna,Mujer,entre 12 y 17,SI,446
2019-01-31,Valle del Cauca,Ninguna,LGBTI,entre 61 y 100,NO,14
2019-01-31,Choco,Indigena,LGBTI,entre 0 y 5,NO,2
2019-01-31,Bogota D.C.,Gitano(a) ROM,Mujer,entre 18 y 28,NO,29
2019-01-31,Magdalena,Ninguna,LGBTI,entre 29 y 60,SI,17
2019-01-31,Huila,Ninguna,Hombre,entre 29 y 60,SI,2134
2019-01-31,Tolima,Gitano(a) ROM,Mujer,ND,NO,75
2019-01-31,Caqueta,Gitano(a) ROM,Mujer,entre 29 y 60,SI,35
2019-01-31,Caqueta,Negro(a) o Afrocolombiano(a),Mujer,entre 61 y 100,SI,45
2019-01-31,Cauca,Palenquero,Mujer,entre 12 y 17,NO,6
2019-01-31,Cesar,Gitano(a) ROM,Hombre,entre 61 y 100,SI,24
2019-01-31,Bolivar,Negro(a) o Afrocolombiano(a),Mujer,ND,SI,44
2019-01-31,Magdalena,Palenquero,Mujer,entre 12 y 17,NO,15
2019-01-31,Huila,Palenquero,Hombre,entre 12 y 17,NO,2
2019-01-31,Tolima,Negro(a) o Afrocolombiano(a),Hombre,entre 18 y 28,SI,15
2019-01-31,Nariño,Palenquero,Hombre,entre 0 y 5,NO,3
2019-01-31,Choco,Gitano(a) ROM,Mujer,entre 18 y 28,SI,1
2019-01-31,Cesar,Negro(a) o Afrocolombiano(a),Hombre,entre 29 y 60,SI,236
2019-01-31,Santander,Indigena,Mujer,entre 29 y 60,NO,196
2019-01-31,Caldas,Ninguna,Hombre,ND,NO,5775
2019-01-31,Vaupes,Ninguna,LGBTI,entre 29 y 60,NO,1
2019-01-31,La Guajira,Negro(a) o Afrocolombiano(a),Hombre,ND,NO,468
2019-01-31,Norte De Santander,Indigena,Hombre,entre 18 y 28,SI,9
2019-01-31,Cauca,Negro(a) o Afrocolombiano(a),Hombre,entre 6 y 11,NO,4801
2019-01-31,Risaralda,Indigena,Mujer,entre 29 y 60,NO,1165
2019-01-31,Cundinamarca,Ninguna,Hombre,entre 29 y 60,NO,24090
2019-01-31,Magdalena,Gitano(a) ROM,Hombre,ND,NO,31
2019-01-31,Norte De Santander,Indigena,Mujer,entre 18 y 28,NO,410
2019-01-31,Norte De Santander,Raizal del Archipielago de San Andres y Providencia,Hombre,entre 61 y 100,NO,22
2019-01-31,Cauca,Raizal del Archipielago de San Andres y Providencia,Mujer,entre 6 y 11,NO,20
2019-01-31,Nariño,Negro(a) o Afrocolombiano(a),Hombre,entre 61 y 100,NO,6440
2019-01-31,Choco,Indigena,LGBTI,entre 29 y 60,NO,2
2019-01-31,Nariño,Ninguna,Hombre,entre 61 y 100,SI,2761
2019-01-31,Huila,Negro(a) o Afrocolombiano(a),Hombre,entre 18 y 28,NO,299
2019-01-31,Antioquia,Gitano(a) ROM,Mujer,entre 6 y 11,NO,101
2019-01-31,Arauca,Palenquero,Mujer,entre 29 y 60,NO,1
2019-01-31,Sucre,Negro(a) o Afrocolombiano(a),Hombre,entre 18 y 28,NO,4357
2019-01-31,Cordoba,Indigena,Mujer,ND,NO,325
2019-01-31,Sucre,Ninguna,Hombre,ND,SI,123
2019-01-31,Bogota D.C.,Indigena,Hombre,entre 61 y 100,NO,10
2019-01-31,Choco,Ninguna,Hombre,entre 12 y 17,SI,219
2019-01-31,Putumayo,Ninguna,Hombre,entre 18 y 28,SI,976
2019-01-31,Caqueta,Raizal del Archipielago de San Andres y Providencia,Mujer,ND,NO,14
2019-01-31,Guaviare,Negro(a) o Afrocolombiano(a),Mujer,entre 61 y 100,SI,30
2019-01-31,Arauca,Gitano(a) ROM,Mujer,entre 61 y 100,SI,7
2019-01-31,Quindio,Negro(a) o Afrocolombiano(a),Mujer,entre 61 y 100,NO,6
2019-01-31,Choco,Negro(a) o Afrocolombiano(a),Mujer,entre 6 y 11,SI,114
2019-01-31,Santander,Indigena,Hombre,entre 12 y 17,NO,34
2019-01-31,Sucre,Indigena,Mujer,entre 18 y 28,SI,17
2019-01-31,Quindio,Indigena,Hombre,ND,NO,3
2019-01-31,Vichada,Indigena,LGBTI,entre 12 y 17,NO,4
2019-01-31,Cesar,Raizal del Archipielago de San Andres y Providencia,Mujer,ND,NO,9
2019-01-31,Antioquia,Negro(a) o Afrocolombiano(a),Mujer,ND,NO,4835
2019-01-31,Meta,Indigena,Mujer,entre 29 y 60,NO,745
2019-01-31,Cauca,Ninguna,Hombre,entre 61 y 100,SI,2328
2019-01-31,Choco,Negro(a) o Afrocolombiano(a),LGBTI,entre 29 y 60,SI,9
2019-01-31,Bolivar,Indigena,Mujer,ND,SI,5
2019-01-31,Choco,Ninguna,Hombre,entre 18 y 28,SI,471
2019-01-31,Boyaca,Raizal del Archipielago de San Andres y Providencia,Mujer,entre 12 y 17,NO,4
2019-01-31,Norte De Santander,Raizal del Archipielago de San Andres y Providencia,Mujer,entre 6 y 11,NO,2
2019-01-31,Cauca,Negro(a) o Afrocolombiano(a),Mujer,entre 29 y 60,SI,883
2019-01-31,Santander,Ninguna,LGBTI,entre 29 y 60,NO,62
2019-01-31,La Guajira,Indigena,Hombre,entre 12 y 17,NO,833
2019-01-31,Boyaca,Raizal del Archipielago de San Andres y Providencia,Hombre,entre 29 y 60,SI,1
2019-01-31,Casanare,Negro(a) o Afrocolombiano(a),Mujer,entre 61 y 100,SI,3
2019-01-31,Huila,Raizal del Archipielago de San Andres y Providencia,Hombre,entre 29 y 60,SI,4
2019-01-31,Arauca,Ninguna,LGBTI,entre 18 y 28,NO,65
2019-01-31,Choco,Negro(a) o Afrocolombiano(a),Mujer,entre 61 y 100,NO,7508
2019-01-31,Quindio,Negro(a) o Afrocolombiano(a),Hombre,entre 12 y 17,NO,28
2019-01-31,Atlantico,Ninguna,Hombre,entre 61 y 100,NO,1562
2019-01-31,Caqueta,Palenquero,Hombre,entre 12 y 17,NO,1
2019-01-31,Cundinamarca,Palenquero,Hombre,entre 18 y 28,NO,1
2019-01-31,Valle del Cauca,Raizal del Archipielago de San Andres y Providencia,Hombre,entre 29 y 60,NO,389
2019-01-31,Tolima,Ninguna,Hombre,entre 0 y 5,NO,10855
2019-01-31,Cundinamarca,Ninguna,Hombre,entre 18 y 28,NO,13976
2019-01-31,Tolima,Palenquero,Mujer,ND,NO,2
2019-01-31,Amazonas,Palenquero,Hombre,entre 6 y 11,NO,1
2019-01-31,Sucre,Indigena,Hombre,entre 6 y 11,NO,133
2019-01-31,Risaralda,Negro(a) o Afrocolombiano(a),Mujer,entre 18 y 28,SI,7
2019-01-31,Guaviare,Indigena,Hombre,entre 18 y 28,NO,414
2019-01-31,Choco,Ninguna,Mujer,entre 61 y 100,NO,8990
2019-01-31,Huila,Raizal del Archipielago de San Andres y Providencia,Mujer,entre 6 y 11,NO,2
2019-01-31,Cundinamarca,Gitano(a) ROM,Hombre,entre 12 y 17,NO,53
2019-01-31,Magdalena,Palenquero,Hombre,entre 6 y 11,NO,15
2019-01-31,Quindio,Ninguna,LGBTI,entre 29 y 60,NO,23
2019-01-31,Sucre,Negro(a) o Afrocolombiano(a),Hombre,entre 6 y 11,NO,1199
2019-01-31,Cundinamarca,Negro(a) o Afrocolombiano(a),LGBTI,entre 29 y 60,NO,2
2019-01-31,Meta,Negro(a) o Afrocolombiano(a),Hombre,entre 29 y 60,SI,109
2019-01-31,Caldas,Negro(a) o Afrocolombiano(a),Hombre,entre 18 y 28,SI,4
2019-01-31,Meta,Negro(a) o Afrocolombiano(a),Mujer,entre 61 y 100,SI,40
2019-01-31,Arauca,Negro(a) o Afrocolombiano(a),Mujer,entre 29 y 60,SI,41
2019-01-31,Valle del Cauca,Palenquero,Hombre,ND,NO,1
2019-01-31,Vichada,Indigena,Hombre,entre 61 y 100,NO,66
2019-01-31,Cordoba,Negro(a) o Afrocolombiano(a),LGBTI,entre 29 y 60,NO,9
2019-01-31,Caqueta,Ninguna,Mujer,ND,SI,359
2019-01-31,Huila,Palenquero,Hombre,entre 29 y 60,NO,5
2019-01-31,Caldas,Indigena,Hombre,entre 18 y 28,SI,9
2019-01-31,Amazonas,Negro(a) o Afrocolombiano(a),Hombre,entre 29 y 60,SI,1
2019-01-31,Choco,Negro(a) o Afrocolombiano(a),Hombre,entre 12 y 17,NO,12782
2019-01-31,Cauca,Indigena,LGBTI,entre 29 y 60,SI,2
2019-01-31,Choco,Gitano(a) ROM,Hombre,entre 6 y 11,NO,20
2019-01-31,Santander,Raizal del Archipielago de San Andres y Providencia,Mujer,entre 12 y 17,NO,8
2019-01-31,Bolivar,Negro(a) o Afrocolombiano(a),Mujer,entre 29 y 60,SI,507
2019-01-31,Vaupes,Gitano(a) ROM,Mujer,entre 29 y 60,NO,1
2019-01-31,Tolima,Gitano(a) ROM,Mujer,entre 29 y 60,NO,1388
2019-01-31,Sucre,Gitano(a) ROM,Mujer,entre 29 y 60,SI,3
2019-01-31,Meta,Ninguna,LGBTI,ND,NO,3
2019-01-31,Tolima,Indigena,Hombre,entre 6 y 11,NO,190
2019-01-31,Risaralda,Ninguna,Mujer,entre 18 y 28,NO,7331
2019-01-31,Meta,Negro(a) o Afrocolombiano(a),Hombre,entre 12 y 17,SI,10
2019-01-31,Antioquia,Negro(a) o Afrocolombiano(a),Hombre,entre 0 y 5,NO,528
2019-01-31,Putumayo,Negro(a) o Afrocolombiano(a),Hombre,entre 61 y 100,NO,255
2019-01-31,Boyaca,Indigena,Hombre,entre 12 y 17,SI,1
2019-01-31,Meta,Ninguna,Mujer,entre 6 y 11,SI,115
2019-01-31,Valle del Cauca,Ninguna,Hombre,ND,NO,17187
2019-01-31,Norte De Santander,Ninguna,Hombre,entre 12 y 17,NO,22821
2019-01-31,Atlantico,Ninguna,Mujer,ND,SI,33
2019-01-31,Cordoba,Gitano(a) ROM,Hombre,entre 18 y 28,SI,3
2019-01-31,Atlantico,Negro(a) o Afrocolombiano(a),Mujer,entre 12 y 17,SI,1
2019-01-31,Guaviare,Palenquero,Hombre,entre 6 y 11,NO,1
2019-01-31,Cundinamarca,Gitano(a) ROM,Mujer,entre 61 y 100,NO,54
2019-01-31,Putumayo,Raizal del Archipielago de San Andres y Providencia,Mujer,entre 61 y 100,SI,4
2019-01-31,Risaralda,Raizal del Archipielago de San Andres y Providencia,Mujer,entre 6 y 11,NO,3
2019-01-31,Arauca,Raizal del Archipielago de San Andres y Providencia,Hombre,entre 18 y 28,SI,2
2019-01-31,Caldas,Raizal del Archipielago de San Andres y Providencia,Hombre,entre 61 y 100,NO,10
2019-01-31,Choco,Raizal del Archipielago de San Andres y Providencia,Mujer,entre 18 y 28,SI,1
2019-01-31,Huila,Ninguna,Mujer,ND,SI,102
2019-01-31,Choco,Ninguna,LGBTI,ND,NO,7
2019-01-31,Nariño,Negro(a) o Afrocolombiano(a),Mujer,entre 12 y 17,SI,353
2019-01-31,Magdalena,Raizal del Archipielago de San Andres y Providencia,Mujer,entre 12 y 17,SI,1
2019-01-31,Meta,Gitano(a) ROM,Mujer,entre 0 y 5,NO,4
2019-01-31,Amazonas,Indigena,Mujer,entre 12 y 17,SI,1
2019-01-31,Santander,Gitano(a) ROM,Hombre,entre 6 y 11,NO,12
2019-01-31,Cauca,Ninguna,Hombre,entre 18 y 28,NO,41590
2019-01-31,Bolivar,Palenquero,LGBTI,entre 18 y 28,NO,1
2019-01-31,Nariño,Palenquero,Mujer,entre 61 y 100,SI,2
2019-01-31,Atlantico,Palenquero,Hombre,entre 29 y 60,NO,4
2019-01-31,Magdalena,Indigena,Mujer,entre 61 y 100,NO,160
2019-01-31,Guaviare,Ninguna,LGBTI,entre 6 y 11,NO,6
2019-01-31,Caqueta,Raizal del Archipielago de San Andres y Providencia,Mujer,ND,SI,1
2019-01-31,Atlantico,Ninguna,Hombre,ND,NO,1355
2019-01-31,Arauca,Raizal del Archipielago de San Andres y Providencia,Mujer,entre 29 y 60,SI,9
2019-01-31,Bolivar,Negro(a) o Afrocolombiano(a),LGBTI,entre 61 y 100,NO,1
2019-01-31,Vaupes,Ninguna,Mujer,entre 61 y 100,SI,85
2019-01-31,Bolivar,Palenquero,LGBTI,entre 12 y 17,NO,2
2019-01-31,Casanare,Negro(a) o Afrocolombiano(a),Hombre,entre 18 y 28,SI,1
2019-01-31,Nariño,Ninguna,Mujer,entre 29 y 60,NO,65989
2019-01-31,Bolivar,Raizal del Archipielago de San Andres y Providencia,Hombre,entre 29 y 60,SI,7
2019-01-31,Risaralda,Palenquero,Hombre,entre 61 y 100,SI,4
2019-01-31,Cordoba,Negro(a) o Afrocolombiano(a),Hombre,ND,SI,24
2019-01-31,Putumayo,Indigena,Mujer,ND,NO,244
2019-01-31,Vichada,Ninguna,Hombre,entre 6 y 11,NO,1665
2019-01-31,Putumayo,Ninguna,Hombre,entre 0 y 5,NO,7175
2019-01-31,Cundinamarca,Raizal del Archipielago de San Andres y Providencia,Mujer,entre 18 y 28,SI,4
2019-01-31,Cundinamarca,Ninguna,LGBTI,entre 6 y 11,NO,8
2019-01-31,Putumayo,Negro(a) o Afrocolombiano(a),Mujer,entre 18 y 28,SI,41
2019-01-31,Antioquia,Raizal del Archipielago de San Andres y Providencia,Hombre,ND,SI,4
2019-01-31,Boyaca,Negro(a) o Afrocolombiano(a),Mujer,ND,NO,21
2019-01-31,Valle del Cauca,Negro(a) o Afrocolombiano(a),Mujer,entre 0 y 5,NO,1668
2019-01-31,Valle del Cauca,Indigena,Hombre,ND,SI,4
2019-01-31,Putumayo,Ninguna,Hombre,entre 29 y 60,NO,48581
2019-01-31,Valle del Cauca,Raizal del Archipielago de San Andres y Providencia,Mujer,ND,SI,4
2019-01-31,Cesar,Ninguna,Hombre,entre 61 y 100,SI,2722
2019-01-31,Cordoba,Gitano(a) ROM,Mujer,entre 29 y 60,NO,342
2019-01-31,Cauca,Ninguna,LGBTI,entre 29 y 60,NO,96
2019-01-31,Cordoba,Raizal del Archipielago de San Andres y Providencia,Mujer,entre 18 y 28,NO,62
2019-01-31,Quindio,Negro(a) o Afrocolombiano(a),Hombre,entre 0 y 5,NO,2
2019-01-31,Antioquia,Raizal del Archipielago de San Andres y Providencia,Hombre,entre 29 y 60,NO,392
2019-01-31,Magdalena,Indigena,Mujer,entre 29 y 60,NO,869
2019-01-31,Magdalena,Ninguna,Hombre,entre 0 y 5,SI,38
2019-01-31,Cauca,Palenquero,Mujer,entre 18 y 28,NO,22
2019-01-31,Norte De Santander,Negro(a) o Afrocolombiano(a),Hombre,entre 0 y 5,NO,20
2019-01-31,Arauca,Negro(a) o Afrocolombiano(a),Hombre,entre 0 y 5,NO,10
2019-01-31,Quindio,Indigena,Hombre,entre 29 y 60,SI,4
2019-01-31,Valle del Cauca,Negro(a) o Afrocolombiano(a),Mujer,entre 18 y 28,SI,582
2019-01-31,Magdalena,Negro(a) o Afrocolombiano(a),Hombre,entre 6 y 11,SI,9
2019-01-31,Archip.De San Andres Providencia y Santa Catalina,Raizal del Archipielago de San Andres y Providencia,Hombre,entre 29 y 60,NO,6
2019-01-31,Tolima,Raizal del Archipielago de San Andres y Providencia,Hombre,ND,NO,10
2019-01-31,Nariño,Raizal del Archipielago de San Andres y Providencia,Hombre,entre 12 y 17,SI,3
2019-01-31,Cordoba,Ninguna,Hombre,entre 29 y 60,SI,2323
2019-01-31,Magdalena,Negro(a) o Afrocolombiano(a),Hombre,entre 0 y 5,NO,78
2019-01-31,Quindio,Gitano(a) ROM,Hombre,entre 12 y 17,NO,14
2019-01-31,Choco,Negro(a) o Afrocolombiano(a),Hombre,entre 61 y 100,SI,958
2019-01-31,Huila,Gitano(a) ROM,Mujer,entre 12 y 17,NO,134
2019-01-31,Magdalena,Ninguna,Hombre,entre 6 y 11,SI,240
2019-01-31,Caqueta,Indigena,Mujer,entre 6 y 11,NO,181
2019-01-31,Risaralda,Ninguna,Hombre,entre 0 y 5,NO,1826
2019-01-31,Bolivar,Gitano(a) ROM,Hombre,entre 61 y 100,NO,33
2019-01-31,Putumayo,Raizal del Archipielago de San Andres y Providencia,Mujer,entre 29 y 60,SI,4
2019-01-31,Arauca,Negro(a) o Afrocolombiano(a),LGBTI,entre 18 y 28,NO,7
2019-01-31,Cundinamarca,Ninguna,LGBTI,entre 0 y 5,NO,3
2019-01-31,Tolima,Indigena,Mujer,entre 29 y 60,NO,2031
2019-01-31,Caldas,Indigena,Mujer,entre 29 y 60,SI,29
2019-01-31,Vichada,Ninguna,Hombre,entre 0 y 5,NO,897
2019-01-31,Bolivar,Palenquero,Hombre,entre 0 y 5,NO,7
2019-01-31,Vichada,Indigena,Hombre,entre 12 y 17,NO,247
2019-01-31,Tolima,Raizal del Archipielago de San Andres y Providencia,Mujer,entre 29 y 60,SI,8
2019-01-31,Caldas,Indigena,Hombre,entre 0 y 5,NO,11
2019-01-31,Cesar,Negro(a) o Afrocolombiano(a),Mujer,entre 6 y 11,SI,4
2019-01-31,Atlantico,Ninguna,Hombre,entre 12 y 17,NO,1692
2019-01-31,Amazonas,Ninguna,Hombre,entre 6 y 11,NO,238
2019-01-31,Antioquia,Indigena,Mujer,entre 12 y 17,SI,24
2019-01-31,Vaupes,Indigena,Hombre,entre 18 y 28,SI,13
2019-01-31,La Guajira,Indigena,Mujer,entre 12 y 17,SI,11
2019-01-31,Boyaca,Ninguna,Mujer,ND,NO,1108
2019-01-31,Nariño,Raizal del Archipielago de San Andres y Providencia,Hombre,entre 0 y 5,NO,1
2019-01-31,Arauca,Indigena,Hombre,entre 12 y 17,NO,207
2019-01-31,Vichada,Gitano(a) ROM,Hombre,entre 61 y 100,NO,3
2019-01-31,Cauca,Indigena,Mujer,entre 18 y 28,SI,327
2019-01-31,Atlantico,Ninguna,Hombre,ND,SI,47
2019-01-31,Putumayo,Ninguna,Mujer,entre 61 y 100,SI,1883
2019-01-31,Boyaca,Ninguna,Hombre,entre 18 y 28,SI,177
2019-01-31,Cordoba,Ninguna,Hombre,entre 12 y 17,SI,373
2019-01-31,Caldas,Ninguna,Hombre,entre 61 y 100,SI,1881
2019-01-31,Quindio,Negro(a) o Afrocolombiano(a),Hombre,entre 61 y 100,SI,2
2019-01-31,Cundinamarca,Gitano(a) ROM,Mujer,entre 6 y 11,NO,17
2019-01-31,La Guajira,Ninguna,Hombre,entre 12 y 17,SI,111
2019-01-31,Valle del Cauca,Indigena,Hombre,entre 12 y 17,SI,7
2019-01-31,Tolima,Ninguna,LGBTI,entre 6 y 11,NO,9
2019-01-31,Tolima,Indigena,Mujer,ND,SI,12
2019-01-31,Antioquia,Gitano(a) ROM,Mujer,entre 12 y 17,SI,5
2019-01-31,Choco,Palenquero,Hombre,entre 0 y 5,NO,1
2019-01-31,Arauca,Negro(a) o Afrocolombiano(a),Mujer,entre 29 y 60,NO,579
2019-01-31,Bolivar,Ninguna,No Informa,entre 18 y 28,NO,1
2019-01-31,Vaupes,Negro(a) o Afrocolombiano(a),Mujer,entre 6 y 11,NO,7
2019-01-31,Arauca,Palenquero,Hombre,entre 12 y 17,NO,1
2019-01-31,Choco,Ninguna,Hombre,entre 12 y 17,NO,16737
2019-01-31,Sucre,Gitano(a) ROM,Mujer,entre 12 y 17,NO,29
2019-01-31,Bogota D.C.,Ninguna,Mujer,entre 12 y 17,SI,50
2019-01-31,Bolivar,Indigena,Hombre,entre 61 y 100,SI,58
2019-01-31,Risaralda,Negro(a) o Afrocolombiano(a),Mujer,entre 6 y 11,NO,118
2019-01-31,Sucre,Raizal del Archipielago de San Andres y Providencia,Hombre,entre 61 y 100,SI,5
2019-01-31,Meta,Gitano(a) ROM,Mujer,entre 18 y 28,NO,158
2019-01-31,Boyaca,Ninguna,LGBTI,entre 6 y 11,NO,2
2019-01-31,Meta,Ninguna,Hombre,entre 6 y 11,NO,13980
2019-01-31,Antioquia,Gitano(a) ROM,Mujer,entre 61 y 100,NO,280
