FECHA_CORTE,COD_ESTADO_DEPTO,ESTADO_DEPTO,ETNIA,SEXO,CICLO_VITAL,DISCAPACIDAD,PER_OCU,PER_DECLA,PER_UBIC,PER_SA,EVENTOS
2019-01-31,8,Atlantico,Ninguna,Hombre,entre 0 y 5,SI,,14,14,11,
2019-01-31,44,La Guajira,Ninguna,LGBTI,entre 29 y 60,NO,25,29,26,21,35
2019-01-31,86,Putumayo,Negro(a) o Afrocolombiano(a),Hombre,entre 0 y 5,NO,20,13,12,11,26
2019-01-31,41,Huila,Raizal del Archipielago de San Andres y Providencia,Mujer,entre 61 y 100,NO,7,3,5,5,9
2019-01-31,86,Putumayo,Indigena,Hombre,entre 29 y 60,NO,2435,1656,1252,1201,2976
2019-01-31,81,Arauca,Gitano(a) ROM,Hombre,entre 6 y 11,NO,6,,3,2,6
2019-01-31,54,Norte De Santander,Negro(a) o Afrocolombiano(a),Hombre,entre 61 y 100,NO,126,63,62,56,158
2019-01-31,19,Cauca,Ninguna,LGBTI,entre 61 y 100,SI,2,,2,2,3
2019-01-31,11,Bogota D.C.,Negro(a) o Afrocolombiano(a),Hombre,entre 0 y 5,SI,,7,1,1,
2019-01-31,18,Caqueta,Indigena,Hombre,entre 18 y 28,NO,660,434,272,260,813
2019-01-31,63,Quindio,Ninguna,LGBTI,entre 18 y 28,SI,1,1,,,2
2019-01-31,44,La Guajira,Gitano(a) ROM,Mujer,entre 12 y 17,NO,13,14,12,11,13
2019-01-31,76,Valle del Cauca,Indigena,LGBTI,entre 61 y 100,NO,1,,1,1,1
2019-01-31,18,Caqueta,Gitano(a) ROM,Mujer,entre 18 y 28,NO,239,113,96,96,286
2019-01-31,73,Tolima,Negro(a) o Afrocolombiano(a),Mujer,entre 29 y 60,NO,1073,898,685,644,1291
2019-01-31,66,Risaralda,Negro(a) o Afrocolombiano(a),Hombre,entre 6 y 11,SI,,4,2,1,
2019-01-31,41,Huila,Gitano(a) ROM,Mujer,entre 61 y 100,SI,10,7,10,10,12
2019-01-31,15,Boyaca,Gitano(a) ROM,Hombre,entre 61 y 100,NO,8,1,3,2,8
2019-01-31,81,Arauca,Raizal del Archipielago de San Andres y Providencia,Hombre,entre 6 y 11,NO,2,1,2,2,2
2019-01-31,20,Cesar,Negro(a) o Afrocolombiano(a),LGBTI,entre 29 y 60,NO,8,5,4,4,20
2019-01-31,52,Nariño,Negro(a) o Afrocolombiano(a),LGBTI,entre 29 y 60,SI,7,5,3,3,19
2019-01-31,18,Caqueta,Negro(a) o Afrocolombiano(a),Mujer,entre 6 y 11,SI,1,,,,1
2019-01-31,47,Magdalena,Negro(a) o Afrocolombiano(a),Mujer,entre 12 y 17,SI,31,25,23,22,32
2019-01-31,73,Tolima,Negro(a) o Afrocolombiano(a),Hombre,ND,SI,7,4,2,2,16
2019-01-31,44,La Guajira,Negro(a) o Afrocolombiano(a),Mujer,entre 0 y 5,NO,52,45,37,20,61
2019-01-31,99,Vichada,Indigena,Mujer,ND,NO,58,17,1,1,63
2019-01-31,54,Norte De Santander,Ninguna,Hombre,entre 61 y 100,SI,1527,1365,1130,946,2100
2019-01-31,41,Huila,Negro(a) o Afrocolombiano(a),Mujer,ND,SI,2,,1,1,2
2019-01-31,97,Vaupes,Ninguna,Mujer,entre 29 y 60,NO,1372,897,607,499,2063
2019-01-31,52,Nariño,Palenquero,Mujer,entre 12 y 17,SI,1,1,1,1,1
2019-01-31,44,La Guajira,Ninguna,Hombre,ND,SI,45,38,12,12,54
2019-01-31,66,Risaralda,Gitano(a) ROM,Hombre,entre 6 y 11,NO,1,3,4,4,1
2019-01-31,18,Caqueta,Ninguna,Mujer,entre 0 y 5,SI,35,20,22,18,42
2019-01-31,19,Cauca,Ninguna,LGBTI,entre 18 y 28,NO,34,22,22,20,43
2019-01-31,73,Tolima,Negro(a) o Afrocolombiano(a),LGBTI,entre 6 y 11,NO,1,1,1,1,1
2019-01-31,94,Guainia,Indigena,Mujer,entre 29 y 60,NO,656,1029,593,573,733
2019-01-31,5,Antioquia,Ninguna,Hombre,entre 6 y 11,NO,76757,75034,69068,63410,86233
2019-01-31,44,La Guajira,Ninguna,Hombre,entre 18 y 28,SI,247,223,153,134,313
2019-01-31,41,Huila,Raizal del Archipielago de San Andres y Providencia,Hombre,entre 29 y 60,NO,33,38,28,25,42
2019-01-31,25,Cundinamarca,Negro(a) o Afrocolombiano(a),Mujer,entre 29 y 60,NO,275,1030,866,833,337
2019-01-31,25,Cundinamarca,Gitano(a) ROM,Mujer,entre 12 y 17,SI,1,,,,1
2019-01-31,41,Huila,Negro(a) o Afrocolombiano(a),Mujer,entre 61 y 100,SI,15,13,8,8,22
2019-01-31,27,Choco,Gitano(a) ROM,Hombre,entre 61 y 100,SI,8,1,,,10
2019-01-31,94,Guainia,Negro(a) o Afrocolombiano(a),Mujer,entre 29 y 60,NO,21,25,19,19,22
2019-01-31,13,Bolivar,Negro(a) o Afrocolombiano(a),Mujer,entre 6 y 11,SI,11,6,5,4,14
2019-01-31,44,La Guajira,Palenquero,Mujer,entre 12 y 17,NO,1,2,2,2,1
2019-01-31,94,Guainia,Indigena,Hombre,entre 61 y 100,NO,107,164,111,108,113
2019-01-31,11,Bogota D.C.,Ninguna,Hombre,entre 12 y 17,SI,37,606,277,252,58
2019-01-31,18,Caqueta,Ninguna,LGBTI,entre 12 y 17,NO,7,3,3,2,10
2019-01-31,41,Huila,Indigena,Hombre,entre 6 y 11,SI,,1,1,1,
2019-01-31,73,Tolima,Gitano(a) ROM,Hombre,entre 18 y 28,SI,13,12,8,8,18
2019-01-31,63,Quindio,Palenquero,Mujer,entre 61 y 100,SI,,,1,,
2019-01-31,27,Choco,Ninguna,Hombre,entre 29 y 60,NO,29370,15243,10111,9421,34789
2019-01-31,70,Sucre,Indigena,Mujer,entre 6 y 11,NO,125,168,145,135,132
2019-01-31,41,Huila,Negro(a) o Afrocolombiano(a),Hombre,entre 29 y 60,SI,28,20,21,21,43
2019-01-31,88,Archip.De San Andres Providencia y Santa Catalina,Raizal del Archipielago de San Andres y Providencia,Mujer,entre 18 y 28,NO,,,2,2,
2019-01-31,86,Putumayo,Negro(a) o Afrocolombiano(a),Hombre,ND,NO,136,60,3,3,152
2019-01-31,66,Risaralda,Gitano(a) ROM,Hombre,entre 29 y 60,SI,1,2,3,3,1
2019-01-31,81,Arauca,Negro(a) o Afrocolombiano(a),Mujer,entre 61 y 100,NO,68,32,40,40,91
2019-01-31,15,Boyaca,Indigena,Hombre,entre 6 y 11,NO,5,11,4,3,6
2019-01-31,52,Nariño,Gitano(a) ROM,Mujer,entre 6 y 11,NO,20,13,9,9,21
2019-01-31,19,Cauca,Ninguna,Mujer,entre 12 y 17,SI,327,239,179,167,446
2019-01-31,76,Valle del Cauca,Ninguna,LGBTI,entre 61 y 100,NO,10,7,8,7,14
2019-01-31,27,Choco,Indigena,LGBTI,entre 0 y 5,NO,2,2,1,1,2
2019-01-31,11,Bogota D.C.,Gitano(a) ROM,Mujer,entre 18 y 28,NO,29,1357,523,515,29
2019-01-31,47,Magdalena,Ninguna,LGBTI,entre 29 y 60,SI,10,6,6,6,17
2019-01-31,41,Huila,Ninguna,Hombre,entre 29 y 60,SI,1536,1817,1724,1659,2134
2019-01-31,73,Tolima,Gitano(a) ROM,Mujer,ND,NO,68,40,11,10,75
2019-01-31,18,Caqueta,Gitano(a) ROM,Mujer,entre 29 y 60,SI,23,13,11,10,35
2019-01-31,18,Caqueta,Negro(a) o Afrocolombiano(a),Mujer,entre 61 y 100,SI,37,21,15,14,45
2019-01-31,19,Cauca,Palenquero,Mujer,entre 12 y 17,NO,5,2,3,2,6
2019-01-31,20,Cesar,Gitano(a) ROM,Hombre,entre 61 y 100,SI,23,24,16,15,24
2019-01-31,13,Bolivar,Negro(a) o Afrocolombiano(a),Mujer,ND,SI,26,29,9,9,44
2019-01-31,47,Magdalena,Palenquero,Mujer,entre 12 y 17,NO,9,9,7,6,15
2019-01-31,41,Huila,Palenquero,Hombre,entre 12 y 17,NO,2,1,2,1,2
2019-01-31,73,Tolima,Negro(a) o Afrocolombiano(a),Hombre,entre 18 y 28,SI,11,9,5,4,15
2019-01-31,52,Nariño,Palenquero,Hombre,entre 0 y 5,NO,3,,2,2,3
2019-01-31,27,Choco,Gitano(a) ROM,Mujer,entre 18 y 28,SI,1,,1,1,1
2019-01-31,20,Cesar,Negro(a) o Afrocolombiano(a),Hombre,entre 29 y 60,SI,167,130,131,116,236
2019-01-31,68,Santander,Indigena,Mujer,entre 29 y 60,NO,170,244,224,218,196
2019-01-31,63,Quindio,Palenquero,Mujer,entre 6 y 11,NO,,2,2,1,
2019-01-31,17,Caldas,Ninguna,Hombre,ND,NO,5170,3567,494,416,5775
2019-01-31,97,Vaupes,Ninguna,LGBTI,entre 29 y 60,NO,1,1,1,,1
2019-01-31,44,La Guajira,Negro(a) o Afrocolombiano(a),Hombre,ND,NO,448,308,22,21,468
2019-01-31,54,Norte De Santander,Indigena,Hombre,entre 18 y 28,SI,9,8,9,8,9
2019-01-31,19,Cauca,Negro(a) o Afrocolombiano(a),Hombre,entre 6 y 11,NO,3753,2882,2451,2242,4801
2019-01-31,66,Risaralda,Indigena,Mujer,entre 29 y 60,NO,854,1171,816,775,1165
2019-01-31,19,Cauca,Indigena,LGBTI,entre 61 y 100,NO,,2,,,
2019-01-31,25,Cundinamarca,Ninguna,Hombre,entre 29 y 60,NO,20541,24760,18413,15935,24090
2019-01-31,47,Magdalena,Gitano(a) ROM,Hombre,ND,NO,31,11,,,31
2019-01-31,54,Norte De Santander,Indigena,Mujer,entre 18 y 28,NO,351,369,256,248,410
2019-01-31,54,Norte De Santander,Raizal del Archipielago de San Andres y Providencia,Hombre,entre 61 y 100,NO,18,18,10,7,22
2019-01-31,19,Cauca,Raizal del Archipielago de San Andres y Providencia,Mujer,entre 6 y 11,NO,11,9,11,11,20
2019-01-31,52,Nariño,Negro(a) o Afrocolombiano(a),Hombre,entre 61 y 100,NO,4880,4056,3284,3053,6440
2019-01-31,27,Choco,Indigena,LGBTI,entre 29 y 60,NO,2,2,2,2,2
2019-01-31,52,Nariño,Ninguna,Hombre,entre 61 y 100,SI,2028,1977,1660,1498,2761
2019-01-31,41,Huila,Negro(a) o Afrocolombiano(a),Hombre,entre 18 y 28,NO,262,227,198,192,299
2019-01-31,5,Antioquia,Gitano(a) ROM,Mujer,entre 6 y 11,NO,90,89,95,91,101
2019-01-31,81,Arauca,Palenquero,Mujer,entre 29 y 60,NO,1,,,,1
2019-01-31,70,Sucre,Negro(a) o Afrocolombiano(a),Hombre,entre 18 y 28,NO,4015,3647,2353,2206,4357
2019-01-31,23,Cordoba,Indigena,Mujer,ND,NO,288,297,148,146,325
2019-01-31,70,Sucre,Ninguna,Hombre,ND,SI,101,81,38,31,123
2019-01-31,11,Bogota D.C.,Indigena,Hombre,entre 61 y 100,NO,10,557,137,124,10
2019-01-31,27,Choco,Ninguna,Hombre,entre 12 y 17,SI,198,72,65,63,219
2019-01-31,86,Putumayo,Ninguna,Hombre,entre 18 y 28,SI,700,430,353,338,976
2019-01-31,18,Caqueta,Raizal del Archipielago de San Andres y Providencia,Mujer,ND,NO,9,6,,,14
2019-01-31,95,Guaviare,Negro(a) o Afrocolombiano(a),Mujer,entre 61 y 100,SI,22,7,2,2,30
2019-01-31,81,Arauca,Gitano(a) ROM,Mujer,entre 61 y 100,SI,2,2,1,1,7
2019-01-31,63,Quindio,Negro(a) o Afrocolombiano(a),Mujer,entre 61 y 100,NO,6,65,41,37,6
2019-01-31,27,Choco,Negro(a) o Afrocolombiano(a),Mujer,entre 6 y 11,SI,84,60,52,47,114
2019-01-31,68,Santander,Indigena,Hombre,entre 12 y 17,NO,33,71,61,60,34
2019-01-31,70,Sucre,Indigena,Mujer,entre 18 y 28,SI,13,18,14,14,17
2019-01-31,8,Atlantico,Raizal del Archipielago de San Andres y Providencia,Mujer,entre 18 y 28,SI,,,1,,
2019-01-31,63,Quindio,Indigena,Hombre,ND,NO,3,24,,,3
2019-01-31,99,Vichada,Indigena,LGBTI,entre 12 y 17,NO,1,,,,4
2019-01-31,20,Cesar,Raizal del Archipielago de San Andres y Providencia,Mujer,ND,NO,6,4,2,2,9
2019-01-31,5,Antioquia,Negro(a) o Afrocolombiano(a),Mujer,ND,NO,3946,3283,1781,1733,4835
2019-01-31,50,Meta,Indigena,Mujer,entre 29 y 60,NO,584,706,553,530,745
2019-01-31,91,Amazonas,Ninguna,Mujer,ND,SI,,1,2,2,
2019-01-31,19,Cauca,Ninguna,Hombre,entre 61 y 100,SI,1649,1278,987,897,2328
2019-01-31,27,Choco,Negro(a) o Afrocolombiano(a),LGBTI,entre 29 y 60,SI,4,4,4,3,9
2019-01-31,13,Bolivar,Indigena,Mujer,ND,SI,3,1,1,1,5
2019-01-31,27,Choco,Ninguna,Hombre,entre 18 y 28,SI,388,122,89,84,471
2019-01-31,15,Boyaca,Raizal del Archipielago de San Andres y Providencia,Mujer,entre 12 y 17,NO,3,,2,2,4
2019-01-31,54,Norte De Santander,Raizal del Archipielago de San Andres y Providencia,Mujer,entre 6 y 11,NO,2,1,2,2,2
2019-01-31,19,Cauca,Negro(a) o Afrocolombiano(a),Mujer,entre 29 y 60,SI,530,353,289,275,883
2019-01-31,68,Santander,Ninguna,LGBTI,entre 29 y 60,NO,37,43,36,32,62
2019-01-31,44,La Guajira,Indigena,Hombre,entre 12 y 17,NO,741,708,499,475,833
2019-01-31,15,Boyaca,Raizal del Archipielago de San Andres y Providencia,Hombre,entre 29 y 60,SI,1,1,1,1,1
2019-01-31,85,Casanare,Negro(a) o Afrocolombiano(a),Mujer,entre 61 y 100,SI,3,5,4,3,3
2019-01-31,41,Huila,Raizal del Archipielago de San Andres y Providencia,Hombre,entre 29 y 60,SI,2,5,4,4,4
2019-01-31,81,Arauca,Ninguna,LGBTI,entre 18 y 28,NO,35,19,14,11,65
2019-01-31,27,Choco,Negro(a) o Afrocolombiano(a),Mujer,entre 61 y 100,NO,5387,4059,3476,3225,7508
2019-01-31,63,Quindio,Negro(a) o Afrocolombiano(a),Hombre,entre 12 y 17,NO,25,125,76,73,28
2019-01-31,8,Atlantico,Ninguna,Hombre,entre 61 y 100,NO,1380,7870,5193,4318,1562
2019-01-31,18,Caqueta,Palenquero,Hombre,entre 12 y 17,NO,1,,,,1
2019-01-31,25,Cundinamarca,Palenquero,Hombre,entre 18 y 28,NO,1,,,,1
2019-01-31,76,Valle del Cauca,Raizal del Archipielago de San Andres y Providencia,Hombre,entre 29 y 60,NO,337,182,133,109,389
2019-01-31,73,Tolima,Ninguna,Hombre,entre 0 y 5,NO,10419,6227,5074,4689,10855
2019-01-31,25,Cundinamarca,Ninguna,Hombre,entre 18 y 28,NO,12526,15871,9694,8667,13976
2019-01-31,73,Tolima,Palenquero,Mujer,ND,NO,1,1,1,1,2
2019-01-31,91,Amazonas,Palenquero,Hombre,entre 6 y 11,NO,1,,,,1
2019-01-31,70,Sucre,Indigena,Hombre,entre 6 y 11,NO,129,171,136,127,133
2019-01-31,85,Casanare,Indigena,Mujer,ND,SI,,1,1,1,
2019-01-31,66,Risaralda,Negro(a) o Afrocolombiano(a),Mujer,entre 18 y 28,SI,6,19,17,16,7
2019-01-31,54,Norte De Santander,Palenquero,Mujer,entre 12 y 17,NO,,1,1,1,
2019-01-31,95,Guaviare,Indigena,Hombre,entre 18 y 28,NO,338,295,167,161,414
2019-01-31,27,Choco,Ninguna,Mujer,entre 61 y 100,NO,7534,4122,2810,2618,8990
2019-01-31,41,Huila,Raizal del Archipielago de San Andres y Providencia,Mujer,entre 6 y 11,NO,1,2,3,3,2
2019-01-31,25,Cundinamarca,Gitano(a) ROM,Hombre,entre 12 y 17,NO,50,26,50,46,53
2019-01-31,47,Magdalena,Palenquero,Hombre,entre 6 y 11,NO,11,10,9,8,15
2019-01-31,63,Quindio,Ninguna,LGBTI,entre 29 y 60,NO,9,19,23,18,23
2019-01-31,70,Sucre,Negro(a) o Afrocolombiano(a),Hombre,entre 6 y 11,NO,1119,1008,830,729,1199
2019-01-31,25,Cundinamarca,Negro(a) o Afrocolombiano(a),LGBTI,entre 29 y 60,NO,1,1,2,2,2
2019-01-31,50,Meta,Negro(a) o Afrocolombiano(a),Hombre,entre 29 y 60,SI,69,73,66,63,109
2019-01-31,17,Caldas,Negro(a) o Afrocolombiano(a),Hombre,entre 18 y 28,SI,4,9,5,5,4
2019-01-31,50,Meta,Negro(a) o Afrocolombiano(a),Mujer,entre 61 y 100,SI,33,33,25,22,40
2019-01-31,81,Arauca,Negro(a) o Afrocolombiano(a),Mujer,entre 29 y 60,SI,28,15,11,11,41
2019-01-31,88,Archip.De San Andres Providencia y Santa Catalina,Ninguna,Hombre,entre 61 y 100,SI,,1,3,2,
2019-01-31,76,Valle del Cauca,Palenquero,Hombre,ND,NO,1,2,,,1
2019-01-31,99,Vichada,Indigena,Hombre,entre 61 y 100,NO,61,28,18,16,66
2019-01-31,23,Cordoba,Negro(a) o Afrocolombiano(a),LGBTI,entre 29 y 60,NO,5,2,,,9
2019-01-31,18,Caqueta,Ninguna,Mujer,ND,SI,227,153,95,89,359
2019-01-31,41,Huila,Palenquero,Hombre,entre 29 y 60,NO,3,3,2,1,5
2019-01-31,17,Caldas,Indigena,Hombre,entre 18 y 28,SI,8,6,1,1,9
2019-01-31,91,Amazonas,Negro(a) o Afrocolombiano(a),Hombre,entre 29 y 60,SI,1,2,,,1
2019-01-31,91,Amazonas,Gitano(a) ROM,Mujer,ND,NO,,1,,,
2019-01-31,27,Choco,Negro(a) o Afrocolombiano(a),Hombre,entre 12 y 17,NO,10326,7655,6245,5790,12782
2019-01-31,19,Cauca,Indigena,LGBTI,entre 29 y 60,SI,2,2,1,1,2
2019-01-31,27,Choco,Gitano(a) ROM,Hombre,entre 6 y 11,NO,19,3,3,3,20
2019-01-31,68,Santander,Raizal del Archipielago de San Andres y Providencia,Mujer,entre 12 y 17,NO,7,11,10,10,8
2019-01-31,13,Bolivar,Negro(a) o Afrocolombiano(a),Mujer,entre 29 y 60,SI,350,351,289,273,507
2019-01-31,15,Boyaca,Raizal del Archipielago de San Andres y Providencia,Mujer,entre 6 y 11,NO,,2,1,1,
2019-01-31,97,Vaupes,Gitano(a) ROM,Mujer,entre 29 y 60,NO,1,,,,1
2019-01-31,73,Tolima,Gitano(a) ROM,Mujer,entre 29 y 60,NO,1206,923,723,709,1388
2019-01-31,70,Sucre,Gitano(a) ROM,Mujer,entre 29 y 60,SI,3,1,2,2,3
2019-01-31,50,Meta,Ninguna,LGBTI,ND,NO,3,2,,,3
2019-01-31,73,Tolima,Indigena,Hombre,entre 6 y 11,NO,140,43,61,54,190
2019-01-31,66,Risaralda,Ninguna,Mujer,entre 18 y 28,NO,6089,11019,7665,6989,7331
2019-01-31,50,Meta,Negro(a) o Afrocolombiano(a),Hombre,entre 12 y 17,SI,8,10,9,9,10
2019-01-31,5,Antioquia,Negro(a) o Afrocolombiano(a),Hombre,entre 0 y 5,NO,466,546,524,411,528
2019-01-31,86,Putumayo,Negro(a) o Afrocolombiano(a),Hombre,entre 61 y 100,NO,202,84,84,76,255
2019-01-31,15,Boyaca,Indigena,Hombre,entre 12 y 17,SI,1,1,,,1
2019-01-31,50,Meta,Ninguna,Mujer,entre 6 y 11,SI,103,127,104,88,115
2019-01-31,76,Valle del Cauca,Ninguna,Hombre,ND,NO,15484,12979,1613,1204,17187
2019-01-31,54,Norte De Santander,Ninguna,Hombre,entre 12 y 17,NO,19229,17493,15275,13690,22821
2019-01-31,8,Atlantico,Ninguna,Mujer,ND,SI,23,395,166,151,33
2019-01-31,23,Cordoba,Gitano(a) ROM,Hombre,entre 18 y 28,SI,3,2,,,3
2019-01-31,8,Atlantico,Negro(a) o Afrocolombiano(a),Mujer,entre 12 y 17,SI,1,6,7,7,1
2019-01-31,95,Guaviare,Palenquero,Hombre,entre 6 y 11,NO,1,1,,,1
2019-01-31,25,Cundinamarca,Gitano(a) ROM,Mujer,entre 61 y 100,NO,44,18,37,32,54
2019-01-31,86,Putumayo,Raizal del Archipielago de San Andres y Providencia,Mujer,entre 61 y 100,SI,3,1,,,4
2019-01-31,66,Risaralda,Raizal del Archipielago de San Andres y Providencia,Mujer,entre 6 y 11,NO,1,6,6,6,3
2019-01-31,81,Arauca,Raizal del Archipielago de San Andres y Providencia,Hombre,entre 18 y 28,SI,2,2,1,1,2
2019-01-31,17,Caldas,Raizal del Archipielago de San Andres y Providencia,Hombre,entre 61 y 100,NO,9,13,7,5,10
2019-01-31,11,Bogota D.C.,Negro(a) o Afrocolombiano(a),LGBTI,ND,NO,,7,1,1,
2019-01-31,27,Choco,Raizal del Archipielago de San Andres y Providencia,Mujer,entre 18 y 28,SI,1,1,,,1
2019-01-31,41,Huila,Ninguna,Mujer,ND,SI,84,44,47,43,102
2019-01-31,27,Choco,Ninguna,LGBTI,ND,NO,7,4,,,7
2019-01-31,52,Nariño,Negro(a) o Afrocolombiano(a),Mujer,entre 12 y 17,SI,246,187,161,155,353
2019-01-31,47,Magdalena,Raizal del Archipielago de San Andres y Providencia,Mujer,entre 12 y 17,SI,1,,,,1
2019-01-31,50,Meta,Gitano(a) ROM,Mujer,entre 0 y 5,NO,3,2,2,2,4
2019-01-31,91,Amazonas,Indigena,Mujer,entre 12 y 17,SI,1,2,2,2,1
2019-01-31,68,Santander,Gitano(a) ROM,Hombre,entre 6 y 11,NO,12,3,8,5,12
2019-01-31,19,Cauca,Ninguna,Hombre,entre 18 y 28,NO,33747,25625,15560,14488,41590
2019-01-31,13,Bolivar,Palenquero,LGBTI,entre 18 y 28,NO,1,1,1,1,1
2019-01-31,52,Nariño,Palenquero,Mujer,entre 61 y 100,SI,2,1,1,1,2
2019-01-31,8,Atlantico,Palenquero,Hombre,entre 29 y 60,NO,2,2,7,3,4
2019-01-31,47,Magdalena,Indigena,Mujer,entre 61 y 100,NO,129,79,52,47,160
2019-01-31,95,Guaviare,Ninguna,LGBTI,entre 6 y 11,NO,4,2,2,2,6
2019-01-31,18,Caqueta,Raizal del Archipielago de San Andres y Providencia,Mujer,ND,SI,1,1,,,1
2019-01-31,8,Atlantico,Ninguna,Hombre,ND,NO,1269,21911,6190,5723,1355
2019-01-31,81,Arauca,Raizal del Archipielago de San Andres y Providencia,Mujer,entre 29 y 60,SI,6,6,4,3,9
2019-01-31,13,Bolivar,Negro(a) o Afrocolombiano(a),LGBTI,entre 61 y 100,NO,1,1,1,1,1
2019-01-31,97,Vaupes,Ninguna,Mujer,entre 61 y 100,SI,49,41,27,23,85
2019-01-31,13,Bolivar,Palenquero,LGBTI,entre 12 y 17,NO,1,1,1,1,2
2019-01-31,85,Casanare,Negro(a) o Afrocolombiano(a),Hombre,entre 18 y 28,SI,1,2,2,1,1
2019-01-31,52,Nariño,Ninguna,Mujer,entre 29 y 60,NO,51456,48928,40979,38695,65989
2019-01-31,13,Bolivar,Raizal del Archipielago de San Andres y Providencia,Hombre,entre 29 y 60,SI,6,5,4,4,7
2019-01-31,66,Risaralda,Palenquero,Hombre,entre 61 y 100,SI,1,,,,4
2019-01-31,23,Cordoba,Negro(a) o Afrocolombiano(a),Hombre,ND,SI,15,22,7,7,24
2019-01-31,86,Putumayo,Indigena,Mujer,ND,NO,207,137,30,30,244
